"FileName","FullPath","SizeKB","LastModified"
"baseline-router.conf","network_configs\baseline\baseline-router.conf","0,3","2025-10-16 07:56:07"
"FW-DC-01.rules","network_configs\firewalls\FW-DC-01.rules","1","2024-10-11 00:00:00"
"FW-DMZ-01.rules","network_configs\firewalls\FW-DMZ-01.rules","0,9","2024-10-12 00:00:00"
"RT-EDGE-01.conf","network_configs\routers\RT-EDGE-01.conf","0,8","2024-10-14 00:00:00"
"RT-EDGE-02.conf","network_configs\routers\RT-EDGE-02.conf","0,6","2024-10-10 00:00:00"
"RT-LAGER-01.conf","network_configs\routers\RT-LAGER-01.conf","0,6","2024-10-08 00:00:00"
"SW-ACCESS-01.conf","network_configs\switches\SW-ACCESS-01.conf","0,5","2024-09-28 00:00:00"
"SW-CORE-01.conf","network_configs\switches\SW-CORE-01.conf","0,8","2024-10-13 00:00:00"
"SW-CORE-02.conf","network_configs\switches\SW-CORE-02.conf","0,6","2024-10-09 00:00:00"
